wild_id,month,eco_median,eco_mean,eco_std
wt-80704,2010-05,13.87,13.594549356223176,2.7822004886377036
wt-80704,2010-06,9.15,8.343589743589742,2.591924169718618
wt-80711,2009-05,8.85,9.830538243626062,3.7831985016190455
wt-80711,2009-06,4.2,3.984328358208955,1.4044320605910983
wt-80716,2009-09,16.53,17.15065326633166,4.644027344356207
wt-80717,2009-06,14.754999999999999,15.050185185185185,2.4581080115709613
wt-80717,2009-07,8.934999999999999,8.740107526881719,0.9456793443705267
wt-80717,2009-08,7.22,7.532943925233646,0.7210309693852887
wt-89969,2010-05,14.635,13.13095652173913,3.530817655569129
wt-89969,2010-06,6.234999999999999,5.756472222222222,1.9409025122092918
wt-89969,2010-07,3.25,3.5925,1.3003870127691692
